
# WEIGHT ALLOCATION MATRICES FOR GYM
# SPECIAL CHARACTERS:
#   #  -> Comment. Program ignores line
#   ,  -> Delimeter
#  --- -> Section divider
# SECTION 1 -> AVAILABLE
# SECTION 2 -> ALLOCATION
# SECTION 3 -> REQUEST
# pid,2.5,5,10,15,20,25,35,45

# AVAILABLE
# 2.5,5,10,15,20,25,35,45

12,12,12,12,12,12,12,12
---
24714,0,0,0,0,0,0,0,0
24715,0,0,0,0,0,0,0,0
24713,0,0,0,0,0,0,0,0
24717,0,0,0,0,0,0,0,0
24716,0,0,0,0,0,0,0,0
24718,0,0,0,0,0,0,0,0
24722,0,0,0,0,0,0,0,0
24721,0,0,0,0,0,0,0,0
24720,0,0,0,0,0,0,0,0
24719,0,0,0,0,0,0,0,0
---
24714,0,0,0,0,0,0,0,0
24715,0,0,0,0,0,0,0,0
24713,0,0,0,0,0,0,0,0
24717,0,0,0,0,0,0,0,0
24716,0,0,0,0,0,0,0,0
24718,0,0,0,0,0,0,0,0
24722,0,0,0,0,0,0,0,0
24721,0,0,0,0,0,0,0,0
24720,0,0,0,0,0,0,0,0
24719,0,0,0,0,0,0,0,0
---

